SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
CAKE-04	COI	SRR7985944	SAMN10187735	PRJNA494857
CAKE-05	COI	SRR7985939	SAMN10187736	PRJNA494857
CAKE-Blank	COI	SRR7985938	SAMN10187737	PRJNA494857
CHIP-01	COI	SRR7985941	SAMN10187738	PRJNA494857
CHIP-02	COI	SRR7985940	SAMN10187739	PRJNA494857
CHIP-03	COI	SRR7985947	SAMN10187740	PRJNA494857
CHIP-04	COI	SRR7985946	SAMN10187741	PRJNA494857
CHIP-05	COI	SRR7986029	SAMN10187742	PRJNA494857
CHIP-Blank	COI	SRR7986028	SAMN10187743	PRJNA494857
Empty-Plate2-01	COI	SRR7986027	SAMN10187744	PRJNA494857
