sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
WADD3-L-03,105150,34284,9092,25192,9088,0.97,92,3,62,29261
WADD3-M-01,87396,23715,3634,20081,3606,0.97,205,3,79,21410
WADD3-M-02,144530,40157,6488,33669,6470,0.97,217,3,80,36285
WADD3-M-03,43060,6097,1288,4809,1288,0.97,70,3,27,4923
WADD3-S-01,65112,17115,5390,11725,5388,0.97,227,3,74,13635
WADD3-S-02,141282,38092,7158,30934,7154,0.97,338,3,120,33727
WADD3-S-03,104986,29853,9166,20687,9164,0.97,288,3,101,24299
WADD3-SO-01,91232,26866,6684,20182,6672,0.97,384,3,127,22764
WADD3-SO-02,185498,53396,14272,39124,14266,0.97,484,3,188,44897
WADD3-SO-03,53820,7962,2100,5862,2100,0.97,138,3,44,5920
WADD3-UN-01,102250,29116,7638,21478,7620,0.97,327,3,155,24390
WADD3-UN-02,191546,56841,12592,44249,12578,0.97,412,3,205,49449
WADD3-UN-03,124070,34946,8956,25990,8954,0.97,311,3,131,29537
WHALL-L-01,65262,16668,3982,12686,3982,0.97,36,3,15,14143
WHALL-L-02,150074,44276,13136,31140,13134,0.97,73,3,26,36424
WHALL-L-03,80268,19184,2894,16290,2894,0.97,41,3,22,17395
WHALL-M-01,220,16,0,16,0,0.97,12,3,1,3
WHALL-M-02,121852,34395,5536,28859,5534,0.97,120,3,35,31394
WHALL-M-03,136,9,0,9,0,0.97,9,3,0,0
WHALL-S-01,83266,21395,3958,17437,3958,0.97,124,3,40,18716
WHALL-S-02,147274,41502,7588,33914,7584,0.97,170,3,68,36708
WHALL-S-03,94020,21022,4646,16376,4646,0.97,104,3,36,17748
WHALL-SO-01,72228,22511,6074,16437,6074,0.97,156,3,46,18567
WHALL-SO-02,154640,48224,11376,36848,11376,0.97,207,3,71,41141
WHALL-SO-03,107610,31618,7784,23834,7782,0.97,169,3,54,26717
WHALL-UN-01,103366,33158,10030,23128,10030,0.97,156,3,49,27118
WHALL-UN-02,148782,45313,11416,33897,11414,0.97,169,3,60,38350
WHALL-UN-03,116412,35320,10034,25286,10034,0.97,138,3,52,29148
WOOD-L-01,57806,19254,5410,13844,5402,0.97,93,3,41,16322
WOOD-L-02,106542,33158,8188,24970,8176,0.97,168,3,85,28645
WOOD-L-03,87322,29721,10242,19479,10228,0.97,124,3,54,24093
WOOD-M-01,84162,23490,4594,18896,4590,0.97,115,3,42,20857
WOOD-M-02,117158,35189,6456,28733,6454,0.97,117,3,45,31630
WOOD-M-03,96402,27399,7010,20389,7006,0.97,129,3,43,23334
WOOD-SO-01,81476,22249,4812,17437,4810,0.97,115,3,51,19498
WOOD-SO-02,156338,44369,10026,34343,10026,0.97,144,3,74,38770
WOOD-SO-03,80562,24578,5478,19100,5478,0.97,117,3,54,21517
